cname,title,exp,edu,loc
엔에스원소프트(주),응용 SW 웹 UI 개발(경력) Spring Java GIS C BigData,경력 4~7년,초대졸↑,서울 서초구
(주)시스코어,프로그램 (C# WPF) 개발 경력자 모집,경력 3~16년,학력무관,경기 용인시 기흥구
(주)아이브랩,병역 특례 AI 플랫폼 개발자를 모십니다.,경력무관,대졸↑,경기 성남시 수정구
(주)헬로서치,유명 포털 데이터 엔지니어 매니저급 채용,경력10년↑,대졸↑,서울 강남구
(주)헬로서치,유명 포털 데이터 엔지니어 매니저급 모집,경력10년↑,대졸↑,서울 강남구
데이터플로,"Java,  웹 프로그래밍  채용 (정규직,계약직,프리랜서)",경력무관,고졸↑,서울 강남구
(주)퀀텀솔루션,20201년 데이터 전문가 채용,경력무관,학력무관,제주 제주시
데이터플로,"모바일(안드로이드) 앱 및 웹 개발 (정규직,계약직,프리랜서)",경력무관,고졸↑,서울 강남구
라인파이낸셜플러스(주),Global Fintech Data Platform Engineer,경력,학력무관,경기 성남시 분당구
라인파이낸셜플러스(주),Global Fintech Data Scientist,경력,학력무관,경기 성남시 분당구
라인파이낸셜플러스(주),Wallet Business Platform Engineer,경력,학력무관,경기 성남시 분당구
디앤아이 컨설팅㈜,빅데이터 분석(머신러닝/딥러닝) 컨설턴트 정규직 채용,경력2년↑,대졸↑,서울 동대문구
주식회사 유저해빗,빅데이터 엔지니어 모집,경력 5~20년,학력무관,서울 중구
(주)커리어라이즈,[초우량 반도체 기업] Data Engineer,경력,대졸↑,서울 강남구
(주)커리어라이즈,[그룹사] 데이터사이언티스트,경력 2~13년,대졸↑,서울 강남구
(주)인써어치컨설팅,중견기업- 빅데이터 플랫폼 서버 관리자,경력 4~8년,학력무관,서울 중구
울랄라랩 주식회사,울랄라랩(주) 2021년 개발부문 공채-서버백엔드 개발,경력5년↑,학력무관,경기 안양시 동안구
울랄라랩 주식회사,울랄라랩(주) 2021년 개발부문 공채-데이터분석 개발,경력1년↑,학력무관,경기 안양시 동안구
휴먼파워컨설팅 (주),물류대기업 - 빅데이터 AI 전문가,경력 5~12년,석사↑,서울 강남구
휴먼파워컨설팅 (주),물류대기업 - AI 비전 인식,경력 5~12년,대졸↑,서울 강남구
(주)씨앤에이코리아,[코스닥상장 중견그룹사] Data Engineer 모집 (2명),경력 4~8년,대졸↑,서울 영등포구
(주) 유비벨록스 모바일,"2021년 개발직(spring, web application) 공개 채용",경력 1~15년,초대졸↑,서울 구로구
(주)케이씨넷,지능정보사업부 데이터 분석가 경력직 채용,경력3년↑,대졸↑,대전 서구
프로페셔날핸즈인핸즈코리아(주),Sales Data Analyst[대리~차장급]-외국계 초우량 소비재기업,경력 5~10년,대졸↑,경기 고양시 덕양구
(주)Riiid,Data Engineer,경력2년↑,학력무관,서울 강남구
주식회사 바운티팜,시니어 Full-stack 개발자 (프로덕트 리드),경력5년↑,학력무관,서울 서초구
(주)스카우트파트너스,머신비전 시스템 전문기업 빅데이터 부문,경력 5~15년,대졸↑,경기 화성시
(주)인큐브시스템,대기업계열사] SW개발(Backend) 경력직 채용,경력 3~5년,대졸↑,서울 금천구
유비스 코리아,초우량상장사 데이터엔지니어 대리과장급,경력 3~10년,대졸↑,서울 마포구
(주)인큐브시스템,대기업계열사] Technical Architect 경력직 채용,경력8년↑,대졸↑,서울 금천구
(주)인큐브시스템,대기업계열사] QA 경력직 채용,경력3년↑,대졸↑,서울 금천구
유한책임회사딜리버리히어로코리아,Business Intelligence Engineer,경력5년↑,대졸↑,서울 서초구
유한책임회사딜리버리히어로코리아,Data Engineer,경력3년↑,대졸↑,서울 서초구
유비스 코리아,초우량상장사 데이터사이언티스트 대리 차장급,경력 3~15년,대졸↑,서울 마포구
주식회사 바운티팜,"시니어 개발자 (프로덕트리드), 자연어처리(NLP) 개발자",경력2년↑,학력무관,서울 서초구
주식회사 바운티팜,시니어 개발자 (프로덕트리드),경력5년↑,학력무관,서울 서초구
(주)인큐브시스템,[대기업계열사]  SW개발(백엔드) 경력직 채용,경력3년↑,대졸↑,서울 금천구
(주)인큐브시스템,[대기업계열사]  Data Architect 경력직 채용,경력 5~10년,대졸↑,서울 금천구
유비스 코리아,초우량유통대기업 데이터분석 과장급,경력 9~15년,대졸↑,서울 마포구
유비스 코리아,초우량유통대기업 데이터모델링 과장급,경력 7~15년,대졸↑,서울 마포구
맨쉬 컨설팅 주식회사,DATA SCIENTIST  처리구현  4대 대기업,경력 3~16년,대졸↑,경기 성남시 분당구
(주)에이치알원 컨설팅,데이터 사이언티스트 경력자 채용(e스포츠 전문 기업),경력 3~7년,대졸↑,서울 마포구
(주)인큐브시스템,외국계 대기업] Data Scientist 경력직 채용,경력 5~15년,대졸↑,서울 금천구
주식회사 라온서치,자율 주행 시뮬레이션 Algorithm Engineer(2년~10년),경력3년↑,대졸↑,서울 서초구
(주)마이더스에이치알,[국내 1위 프랜차이즈] 데이터 사이언티스트 경력직 채용,경력 5~14년,석사↑,서울 영등포구
로이컨설팅,[유망 IT 스타트업]  Growth 마케팅 매니저,경력 5~12년,학력무관,서울 강남구
(주)인큐브시스템,대기업계열사] SW개발(프론트) 경력직 채용,경력6년↑,대졸↑,서울 금천구
(주)인큐브시스템,외국계 대기업] 웹개발 경력직 채용,경력 3~12년,대졸↑,서울 금천구
(주)스카우트파트너스,IoT전문가(예지정비 빅데이터) 경력직 채용(종합물류 대기업),경력 8~13년,석사↑,서울 중구
(주)에이치알비즈코리아,대기업/(자동차)계열사/검색엔진개발/서버 검색서비스 개발/운영,경력 4~12년,대졸↑,서울 용산구
(주)에이치알비즈코리아,검색엔진개발/서버 검색서비스 개발/운영/대기업/(자동차)계열사,경력 4~12년,대졸↑,서울 용산구
(주)에이치알비즈코리아,세계적인게임사/[데이터] 데이터 사업전략 담당/판교,경력5년↑,대졸↑,경기 성남시 분당구
(주)에이치알비즈코리아,세계적인게임사/[데이터] 데이터 인프라 담당/클라우드/판교,경력5년↑,대졸↑,경기 성남시 분당구
주식회사 라온서치,자율 주행 시뮬레이션 Algorithm Engineer모집(2년~10년),경력3년↑,대졸↑,서울 서초구
매드업,[테크사업부] 데이터 사이언티스트 채용,경력 5~12년,대졸↑,서울 서초구
(주)매지스,데이터 통계 및 데이터 분석 경력사원 채용(정규직),경력 3~10년,대졸↑,서울 용산구
매버릭컨설팅㈜,대기업 글로벌 온라인 사업담당 대리-부장급(마케팅),경력 4~16년,대졸↑,서울 강남구
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 검색서비스개발,경력 3~15년,대졸↑,서울 송파구
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 프로세스 시스템개발,경력 3~15년,대졸↑,서울 송파구
㈜써치포리더스,웹개발자 채용 / 외국계 디지털마케팅 솔루션,경력7년↑,초대졸↑,서울 강남구
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 웹어플리케이션개발,경력 3~15년,대졸↑,서울 송파구
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 전시매장 운영개발,경력 3~15년,대졸↑,서울 송파구
(주)타디스테크놀로지,Full Stack 개발자를 찾습니다-전기차 충전인프라솔루션개발자,경력 2~6년,대졸↑,서울 성동구
(주)타디스테크놀로지,경력 개발자를 찾습니다- 전기차 충전인프라솔루션개발자,경력 2~6년,대졸↑,서울 성동구
잡스테이션코리아,그로스 매니저 - 유명 스타트업,경력2년↑,초대졸↑,서울 성동구
테크온미디어(주),JAVA서버개발자 경력직채용,경력 4~10년,초대졸↑,서울 영등포구
반석써치(주),(국내 IT/SI 사업 우량 중견기업) 서버/ERP/PLMS/Hybrid 앱개발,경력4년↑,대졸↑,서울 중구
스카우트피플,데이터 사이언티스트 경력직 채용,경력5년↑,석사↑,서울 서초구
올커리어,"FIRMWARE,RTL,SOC,IT,상품기획 신입 및 경력 모집",경력3년↑,대졸↑,서울 강남구
(주)피앤씨스타,2021년 상반기 SAS/Python/데이터분석 경력 채용,경력 1~5년,대졸↑,서울 구로구
탑커리어인사이트,플랫폼 개발자: AI 분석/개발경력3년이상,경력3년↑,초대졸↑,경기 성남시 분당구
(주)브이비젼,[코스닥/유명 인터넷포털기업] Strategic Planning Manager 채용,경력5년↑,대졸↑,서울 서초구
휴머레인컨설팅,"긴급) Data Architect (DA, 7년 이상) - 업계 최고 대기업",경력7년↑,대졸↑,서울 강남구
휴머레인컨설팅,긴급) Data Engineer (7년 이상) - 업계 최고 대기업 - 최우대,경력7년↑,학력무관,서울 강남구
(주)반달소프트,2021년 반달소프트 머신러닝 개발자 채용,경력무관,학력무관,서울 강동구
휴머레인컨설팅,"긴급) 업계 최고 대기업 - Data Architect (DA, 7년 이상)",경력7년↑,대졸↑,서울전체
휴머레인컨설팅,"긴급) 업계 최고 대기업 - 머신러닝 엔지니어 (추천,자연어처리)",경력3년↑,학력무관,서울전체
휴머레인컨설팅,긴급) 업계 최고 대기업 - Data Engineer (7년 이상) - 최우대,경력7년↑,학력무관,서울전체
휴머레인컨설팅,"긴급) 머신러닝 엔지니어 (추천,자연어처리) - 업계 최고 대기업",경력3년↑,학력무관,서울전체
(주)투비파트너즈,[IT 그룹계열사] 클라우드 백엔드(BackEnd) 개발 경력자,경력3년↑,초대졸↑,경기 성남시 분당구
(주)브이비젼,[AI 머신비전 시스템기업] 머신비전/ AI딥러닝 담당 (병특가능),경력무관,대졸↑,서울 송파구
(주)브이비젼,[AI 머신비전 시스템기업] 딥러닝 R&D (판교),경력무관,대졸↑,서울 송파구
(주)브이비젼,[AI 머신비전 시스템기업] 빅데이터 담당 채용,경력,대졸↑,서울 송파구
(주)HR컨설팅그룹,[Global Company]   웹 개발 (과장-차장급),경력4년↑,초대졸↑,서울 강남구
(주)피플케어코리아,데이터 사이언티스트 채용,경력4년↑,대졸↑,서울 강남구
(주)제이엔제이 글로벌 컨설팅,AI 기반 분석 플랫폼 개발 부문,경력무관,대졸↑,경기 성남시 분당구
(주)제이엔제이 글로벌 컨설팅,머신러닝 엔지니어,경력무관,대졸↑,경기 성남시 분당구
(주)투비파트너즈,Java 개발자 (AI 분석플랫폼),경력 3~15년,대졸↑,서울 서초구
